Block,Day_PI,Mosquito,Mean Temp,DTR,Sporozoites,,
2,15,1,27,0,1,,
2,15,2,27,0,0,,
2,15,3,27,0,0,,
2,15,4,27,0,1,,
2,15,5,27,0,1,,
2,15,6,27,0,0,,
2,15,7,27,0,0,,
2,15,8,27,0,0,,
2,15,9,27,0,1,,
2,15,10,27,0,0,,
2,15,11,27,0,1,,
2,15,12,27,0,0,,
2,15,13,27,0,0,,
2,15,14,27,0,1,,
2,15,15,27,0,0,,
2,15,16,27,0,0,,
2,15,17,27,0,1,,
2,15,18,27,0,0,,
2,15,19,27,0,0,,
2,15,20,27,0,1,,
2,15,21,27,6,0,,
2,15,22,27,6,1,,
2,15,23,27,6,0,,
2,15,24,27,6,0,,
2,15,25,27,6,1,,
2,15,26,27,6,1,,
2,15,27,27,6,0,,
2,15,28,27,6,0,,
2,15,29,27,6,0,,
2,15,30,27,6,0,,
2,15,31,27,6,0,,
2,15,32,27,6,0,,
2,15,33,27,6,0,,
2,15,34,27,6,1,,
2,15,35,27,6,0,,
2,15,36,27,6,0,,
2,15,37,27,6,1,,
2,15,38,27,6,0,,
2,15,39,27,9,1,,
2,15,40,27,9,0,,
2,15,41,27,9,1,,
2,15,42,27,9,0,,
2,15,43,27,9,0,,
2,15,44,27,9,1,,
2,15,45,27,9,0,,
2,15,46,27,9,0,,
2,15,47,27,9,1,,
2,15,48,27,9,0,,
2,15,49,27,9,0,,
2,15,50,27,9,0,,
2,15,51,27,9,0,,
2,15,52,27,9,1,,
2,15,53,27,9,1,,
2,15,54,27,9,0,,
2,15,55,30,0,1,,
2,15,56,30,0,0,,
2,15,57,30,0,0,,
2,15,58,30,0,0,,
2,15,59,30,0,0,,
2,15,60,30,6,0,,
2,15,61,30,6,0,,
2,15,62,30,9,0,,
1,15,63,27,0,1,,
1,15,64,27,0,0,,
1,15,65,27,0,1,,
1,15,66,27,0,0,,
1,15,67,27,0,1,,
1,15,68,27,0,0,,
1,15,69,27,0,0,,
1,15,70,27,0,0,,
1,15,71,27,0,1,,
1,15,72,27,0,1,,
1,15,73,27,0,0,,
1,15,74,27,0,1,,
1,15,75,27,0,1,,
1,15,76,27,0,0,,
1,15,77,27,0,0,,
1,15,78,27,0,1,,
1,15,79,27,0,0,,
1,15,80,27,0,0,,
1,15,81,27,0,1,,
1,15,82,27,0,1,,
1,15,83,27,6,0,,
1,15,84,27,6,1,,
1,15,85,27,6,0,,
1,15,86,27,6,0,,
1,15,87,27,6,1,,
1,15,88,27,6,0,,
1,15,89,27,6,1,,
1,15,90,27,6,1,,
1,15,91,27,6,0,,
1,15,92,27,6,1,,
1,15,93,27,6,1,,
1,15,94,27,6,0,,
1,15,95,27,6,0,,
1,15,96,27,6,1,,
1,15,97,27,6,0,,
1,15,98,27,6,0,,
1,15,99,27,6,1,,
1,15,100,27,6,0,,
1,15,101,27,6,1,,
1,15,102,27,6,0,,
1,15,103,27,9,0,,
1,15,104,27,9,1,,
1,15,105,27,9,0,,
1,15,106,27,9,1,,
1,15,107,27,9,0,,
1,15,108,27,9,1,,
1,15,109,27,9,0,,
1,15,110,27,9,0,,
1,15,111,27,9,0,,
1,15,112,27,9,1,,
1,15,113,27,9,1,,
1,15,114,27,9,1,,
1,15,115,27,9,1,,
1,15,116,27,9,0,,
1,15,117,27,9,0,,
1,15,118,27,9,1,,
1,15,119,27,9,0,,
1,15,120,27,9,1,,
1,15,121,27,9,0,,
1,15,122,27,9,0,,
1,15,123,30,0,1,,
1,15,124,30,0,0,,
1,15,125,30,0,1,,
1,15,126,30,0,0,,
1,15,127,30,0,0,,
1,15,128,30,0,0,,
1,15,129,30,0,0,,
1,15,130,30,0,0,,
1,15,131,30,0,0,,
1,15,132,30,0,0,,
1,15,133,30,0,0,,
1,15,134,30,0,0,,
1,15,135,30,0,1,,
1,15,136,30,0,0,,
1,15,137,30,0,0,,
1,15,138,30,0,0,,
1,15,139,30,0,1,,
1,15,140,30,0,0,,
1,15,141,30,0,0,,
1,15,142,30,0,0,,
1,15,143,30,6,0,,
1,15,144,30,6,0,,
1,15,145,30,6,0,,
1,15,146,30,6,0,,
1,15,147,30,6,0,,
1,15,148,30,6,0,,
1,15,149,30,6,1,,
1,15,150,30,6,0,,
1,15,151,30,6,0,,
1,15,152,30,6,0,,
1,15,153,30,6,0,,
1,15,154,30,6,0,,
1,15,155,30,6,0,,
1,15,156,30,6,1,,
1,15,157,30,6,0,,
1,15,158,30,6,0,,
1,15,159,30,6,0,,
1,15,160,30,6,0,,
1,15,161,30,6,0,,
1,15,162,30,6,0,,
1,15,163,30,9,0,,
1,15,164,30,9,0,,
1,15,165,30,9,0,,
1,15,166,30,9,0,,
1,15,167,30,9,0,,
1,15,168,30,9,0,,
1,15,169,30,9,0,,
1,15,170,30,9,1,,
1,15,171,30,9,1,,
1,15,172,30,9,0,,
1,15,173,30,9,0,,
1,15,174,30,9,0,,
1,15,175,30,9,1,,
1,15,176,30,9,0,,
1,15,177,30,9,0,,
1,15,178,30,9,0,,
1,15,179,30,9,0,,
1,15,180,30,9,0,,
1,15,181,30,9,0,,
1,15,182,30,9,0,,
1,15,183,33,0,0,,
1,15,184,33,0,0,,
1,15,185,33,0,0,,
1,15,186,33,0,0,,
1,15,187,33,0,0,,
1,15,188,33,0,0,,
1,15,189,33,0,0,,
1,15,190,33,0,0,,
1,15,191,33,6,0,,
1,15,192,33,6,0,,
1,15,193,33,6,0,,
1,15,194,33,6,0,,
1,15,195,33,6,0,,
1,15,196,33,6,0,,
1,15,197,33,6,0,,
1,15,198,33,6,0,,
1,15,199,33,9,0,,